state,phi_total,phi_mc_abs,phi_pore,lambda_basic,lambda_dual,delta_lambda_abs,delta_lambda_pct,alpha_basic,alpha_pore,alpha_mc
dry,0.01,0.0025,0.0075,4.92219791022087,4.252398134677619,-0.6697997755432512,-13.607737595280799,0.5,0.5,0.0001
dry,0.0129,0.0025,0.0104,4.899800804632418,4.234013610402761,-0.6657871942296572,-13.588046142614656,0.5,0.5,0.0001
dry,0.0158,0.0025,0.013300000000000001,4.877477442677927,4.215681362585329,-0.6617960800925982,-13.568408831620268,0.5,0.5,0.0001
dry,0.0187,0.0025,0.016200000000000003,4.855227460748874,4.197401168569458,-0.6578262921794158,-13.548825415441033,0.5,0.5,0.0001
dry,0.0216,0.0025,0.019100000000000002,4.833050497623282,4.179172806961936,-0.6538776906613464,-13.529295648429487,0.5,0.5,0.0001
dry,0.0245,0.0025,0.022000000000000002,4.810946194446167,4.1609960576232705,-0.6499501368228966,-13.509819286135633,0.5,0.5,0.0001
dry,0.0274,0.0025,0.024900000000000002,4.788914194710183,4.142870701658822,-0.6460434930513612,-13.49039608529588,0.5,0.5,0.0001
dry,0.0303,0.0025,0.027800000000000002,4.766954144236457,4.124796521410022,-0.642157622826435,-13.471025803821574,0.5,0.5,0.0001
dry,0.0332,0.0025,0.0307,4.745065691155602,4.106773300445655,-0.6382923907099478,-13.451708200787829,0.5,0.5,0.0001
dry,0.0361,0.0025,0.0336,4.72324848588894,4.088800823553225,-0.6344476623357149,-13.432443036422391,0.5,0.5,0.0001
dry,0.039,0.0025,0.0365,4.701502181129872,4.070878876730385,-0.6306233043994869,-13.413230072094418,0.5,0.5,0.0001
dry,0.0419,0.0025,0.0394,4.679826431825463,4.053007247176444,-0.626819184649019,-13.39406907030343,0.5,0.5,0.0001
dry,0.0448,0.0025,0.0423,4.658220895158183,4.0351857232839485,-0.6230351718742346,-13.374959794668083,0.5,0.5,0.0001
dry,0.0477,0.0025,0.0452,4.636685230527839,4.017414094630324,-0.6192711358975158,-13.355902009915349,0.5,0.5,0.0001
dry,0.0506,0.0025,0.0481,4.615219099533676,3.999692151969595,-0.615526947564081,-13.336895481869412,0.5,0.5,0.0001
dry,0.0535,0.0025,0.051,4.593822165956649,3.982019687224181,-0.6118024787324678,-13.317939977440593,0.5,0.5,0.0001
dry,0.0564,0.0025,0.053899999999999997,4.572494095741873,3.9643964934767406,-0.6080976022651323,-13.299035264614604,0.5,0.5,0.0001
dry,0.0593,0.0025,0.056799999999999996,4.5512345569812345,3.946822364962102,-0.6044121920191325,-13.280181112441502,0.5,0.5,0.0001
dry,0.0622,0.0025,0.059699999999999996,4.530043219896177,3.9292970970592545,-0.6007461228369224,-13.261377291024848,0.5,0.5,0.0001
dry,0.06509999999999999,0.0025,0.06259999999999999,4.508919756820649,3.9118204862834065,-0.5970992705372429,-13.24262357151089,0.5,0.5,0.0001
dry,0.06799999999999999,0.0025,0.06549999999999999,4.487863842184215,3.89439233027811,-0.5934715119061047,-13.22391972607765,0.5,0.5,0.0001
dry,0.07089999999999999,0.0025,0.06839999999999999,4.466875152495324,3.8770124278074487,-0.5898627246878752,-13.205265527924169,0.5,0.5,0.0001
dry,0.07379999999999999,0.0025,0.07129999999999999,4.445953366324753,3.859680578748297,-0.5862727875764562,-13.186660751259714,0.5,0.5,0.0001
dry,0.07669999999999999,0.0025,0.07419999999999999,4.4250981642891904,3.842396584082633,-0.5827015802065576,-13.168105171293025,0.5,0.5,0.0001
dry,0.07959999999999999,0.0025,0.07709999999999999,4.404309229034988,3.8251602458899256,-0.5791489831450622,-13.149598564221556,0.5,0.5,0.0001
