phi_total,phi_mc_abs,delta_lambda_pct
0.01,0.0005,-3.0559189473803854
0.01,0.00056875,-3.461488762067905
0.01,0.0006375,-3.8636615526718274
0.01,0.00070625,-4.26247982104609
0.01,0.000775,-4.657985362973593
0.01,0.00084375,-5.050219282767744
0.01,0.0009124999999999999,-5.439222007513138
0.01,0.00098125,-5.82503330095576
0.01,0.00105,-6.207692277052699
0.01,0.00111875,-6.587237413191121
0.01,0.0011875,-6.963706563085786
0.01,0.00125625,-7.33713696936421
0.01,0.0013249999999999998,-7.707565275848554
0.01,0.00139375,-8.075027539542141
0.01,0.0014624999999999998,-8.439559242329368
0.01,0.0015312499999999998,-8.801195302396884
0.01,0.0015999999999999999,-9.15997008538349
0.01,0.0016687499999999999,-9.515917415266587
0.01,0.0017375,-9.869070584992109
0.01,0.00180625,-10.219462366855238
0.01,0.001875,-10.567125022638397
0.01,0.0019437499999999997,-10.912090313513573
0.01,0.0020124999999999995,-11.254389509714565
0.01,0.0020812499999999998,-11.594053399986393
0.01,0.00215,-11.931112300816807
0.01,0.00221875,-12.26559606545658
0.01,0.0022874999999999996,-12.597534092733538
0.01,0.00235625,-12.926955335666419
0.01,0.0024249999999999996,-13.253888309883195
0.01,0.00249375,-13.578361101849692
0.01,0.0025624999999999997,-13.900401376912798
0.01,0.00263125,-14.220036387163859
0.01,0.0026999999999999997,-14.537292979126025
0.01,0.0027687499999999995,-14.852197601271204
0.01,0.0028374999999999997,-15.164776311369922
0.01,0.0029062499999999995,-15.47505478367935
0.01,0.0029749999999999998,-15.783058315972884
0.01,0.0030437499999999996,-16.088811836415918
0.01,0.0031125,-16.392339910291323
0.01,0.0031812499999999996,-16.693666746578742
0.01,0.00325,-16.99281620439108
0.01,0.0033187499999999997,-17.28981179927213
0.01,0.0033874999999999995,-17.584676709358607
0.01,0.0034562499999999997,-17.877433781409955
0.01,0.0035249999999999995,-18.168105536709447
0.01,0.0035937499999999997,-18.45671417683954
0.01,0.0036624999999999995,-18.743281589334618
0.01,0.0037312499999999998,-19.027829353214443
0.01,0.0037999999999999996,-19.310378744400783
0.01,0.0038687499999999994,-19.590950741020446
0.01,0.0039375,-19.869566028597323
0.01,0.004006249999999999,-20.146245005136286
0.01,0.004075,-20.42100778610117
0.01,0.00414375,-20.693874209290062
0.01,0.004212499999999999,-20.964863839609706
0.01,0.0042812499999999995,-21.233995973751913
0.01,0.00435,-21.501289644773927
0.01,0.004418749999999999,-21.766763626585533
0.01,0.0044875,-22.030436438344527
0.01,0.0045562499999999995,-22.29232634876326
0.01,0.004624999999999999,-22.552451380327973
0.01,0.00469375,-22.81082931343325
0.01,0.004762499999999999,-23.0674776904332
0.01,0.004831249999999999,-23.32241381961192
0.01,0.0049,-23.575654779074366
0.01,0.004968749999999999,-23.827217420560178
0.01,0.005037499999999999,-24.07711837318174
0.01,0.00510625,-24.325374047088506
0.01,0.005174999999999999,-24.57200063705911
0.01,0.00524375,-24.817014126023114
0.01,0.0053124999999999995,-25.060430288513654
0.01,0.005381249999999999,-25.302264694053093
0.01,0.00545,-25.542532710472617
0.01,0.005518749999999999,-25.781249507167626
0.01,0.005587499999999999,-26.018430058290367
0.01,0.00565625,-26.254089145880922
0.01,0.005724999999999999,-26.488241362938385
0.01,0.0057937499999999986,-26.7209011164331
0.01,0.0058625,-26.952082630261582
0.01,0.005931249999999999,-27.181799948145276
0.01,0.006,-27.410066936474465
0.0129,0.0005,-3.0509631020114334
0.0129,0.00056875,-3.4558984275046587
0.0129,0.0006375,-3.8574474193989667
0.0129,0.00070625,-4.255652378918209
0.0129,0.000775,-4.65055490565279
0.0129,0.00084375,-5.042195912046845
0.0129,0.0009124999999999999,-5.430615637527684
0.0129,0.00098125,-5.815853662288366
0.0129,0.00105,-6.197948920732577
0.0129,0.00111875,-6.576939714592078
0.0129,0.0011875,-6.952863725725549
0.0129,0.00125625,-7.325758028608097
0.0129,0.0013249999999999998,-7.6956591025199526
0.0129,0.00139375,-8.062602843442786
0.0129,0.0014624999999999998,-8.426624575671852
0.0129,0.0015312499999999998,-8.787759063151938
0.0129,0.0015999999999999999,-9.14604052054438
0.0129,0.0016687499999999999,-9.501502624033211
0.0129,0.0017375,-9.854178521876776
0.0129,0.00180625,-10.204100844712475
0.0129,0.001875,-10.551301715621008
0.0129,0.0019437499999999997,-10.89581275995675
0.0129,0.0020124999999999995,-11.237665114950316
0.0129,0.0020812499999999998,-11.576889439090102
0.0129,0.00215,-11.91351592128772
0.0129,0.00221875,-12.24757428983429
0.0129,0.0022874999999999996,-12.579093821151885
0.0129,0.00235625,-12.908103348346803
0.0129,0.0024249999999999996,-13.234631269568782
0.0129,0.00249375,-13.558705556182204
0.0129,0.0025624999999999997,-13.880353760753383
0.0129,0.00263125,-14.199603024859568
0.0129,0.0026999999999999997,-14.516480086723458
0.0129,0.0027687499999999995,-14.831011288678434
0.0129,0.0028374999999999997,-15.143222584468468
0.0129,0.0029062499999999995,-15.453139546387307
0.0129,0.0029749999999999998,-15.76078737226035
0.0129,0.0030437499999999996,-16.066190892274477
0.0129,0.0031125,-16.369374575658217
0.0129,0.0031812499999999996,-16.67036253721724
0.0129,0.00325,-16.96917854372817
0.0129,0.0033187499999999997,-17.26584602019455
0.0129,0.0033874999999999995,-17.560388055968396
0.0129,0.0034562499999999997,-17.85282741074037
0.0129,0.0035249999999999995,-18.143186520402633
0.0129,0.0035937499999999997,-18.431487502786492
0.0129,0.0036624999999999995,-18.71775216327876
0.0129,0.0037312499999999998,-19.002002000319553
0.0129,0.0037999999999999996,-19.28425821078424
0.0129,0.0038687499999999994,-19.56454169525263
0.0129,0.0039375,-19.842873063168145
0.0129,0.004006249999999999,-20.119272637889388
0.0129,0.004075,-20.393760461637086
0.0129,0.00414375,-20.66635630033856
0.0129,0.004212499999999999,-20.937079648372546
0.0129,0.0042812499999999995,-21.205949733216354
0.0129,0.00435,-21.472985519998176
0.0129,0.004418749999999999,-21.738205715956283
0.0129,0.0044875,-22.001628774807756
0.0129,0.0045562499999999995,-22.26327290102862
0.0129,0.004624999999999999,-22.523156054047607
0.0129,0.00469375,-22.78129595235547
0.0129,0.004762499999999999,-23.037710077531948
0.0129,0.004831249999999999,-23.292415678192153
0.0129,0.0049,-23.545429773854387
0.0129,0.004968749999999999,-23.79676915873121
0.0129,0.005037499999999999,-24.04645040544532
0.0129,0.00510625,-24.294489868672287
0.0129,0.005174999999999999,-24.540903688711524
0.0129,0.00524375,-24.78570779498749
0.0129,0.0053124999999999995,-25.02891790948217
0.0129,0.005381249999999999,-25.270549550101162
0.0129,0.00545,-25.51061803397388
0.0129,0.005518749999999999,-25.749138480690547
0.0129,0.005587499999999999,-25.986125815476207
0.0129,0.00565625,-26.22159477230409
0.0129,0.005724999999999999,-26.455559896949143
0.0129,0.0057937499999999986,-26.688035549983365
0.0129,0.0058625,-26.91903590971405
0.0129,0.005931249999999999,-27.14857497506617
0.0129,0.006,-27.376666568410492
0.0158,0.0005,-3.046022658882033
0.0158,0.00056875,-3.45032539035027
0.0158,0.0006375,-3.8512524290443464
0.0158,0.00070625,-4.248845876809685
0.0158,0.000775,-4.6431471382613205
0.0158,0.00084375,-5.034196935157621
0.0158,0.0009124999999999999,-5.422035320419544
0.0158,0.00098125,-5.806701691806615
0.0158,0.00105,-6.188234805257866
0.0158,0.00111875,-6.566672787908822
0.0158,0.0011875,-6.94205315079257
0.0158,0.00125625,-7.314412801234216
0.0158,0.0013249999999999998,-7.68378805494758
0.0158,0.00139375,-8.050214647841925
0.0158,0.0014624999999999998,-8.413727747547199
0.0158,0.0015312499999999998,-8.774361964665397
0.0158,0.0015999999999999999,-9.132151363755664
0.0158,0.0016687499999999999,-9.48712947406053
0.0158,0.0017375,-9.839329299980147
0.0158,0.00180625,-10.188783331301673
0.0158,0.001875,-10.535523553190346
0.0158,0.0019437499999999997,-10.879581455948518
0.0158,0.0020124999999999995,-11.220988044549324
0.0158,0.0020812499999999998,-11.559773847950607
0.0158,0.00215,-11.895968928195295
0.0158,0.00221875,-12.229602889303676
0.0158,0.0022874999999999996,-12.56070488596334
0.0158,0.00235625,-12.889303632021912
0.0158,0.0024249999999999996,-13.215427408788074
0.0158,0.00249375,-13.539104073145436
0.0158,0.0025624999999999997,-13.86036106548469
0.0158,0.00263125,-14.179225417458456
0.0158,0.0026999999999999997,-14.49572375956344
0.0158,0.0027687499999999995,-14.809882328554508
0.0158,0.0028374999999999997,-15.121726974694898
0.0158,0.0029062499999999995,-15.431283168846875
0.0158,0.0029749999999999998,-15.738576009406719
0.0158,0.0030437499999999996,-16.043630229088368
0.0158,0.0031125,-16.3464702015591
0.0158,0.0031812499999999996,-16.647119947931362
0.0158,0.00325,-16.94560314311438
0.0158,0.0033187499999999997,-17.241943122028644
0.0158,0.0033874999999999995,-17.536162885687244
0.0158,0.0034562499999999997,-17.828285107147156
0.0158,0.0035249999999999995,-18.118332137333514
0.0158,0.0035937499999999997,-18.406326010740305
0.0158,0.0036624999999999995,-18.69228845101047
0.0158,0.0037312499999999998,-18.976240876398286
0.0158,0.0037999999999999996,-19.25820440511692
0.0158,0.0038687499999999994,-19.538199860574174
0.0158,0.0039375,-19.816247776498706
0.0158,0.004006249999999999,-20.092368401959956
0.0158,0.004075,-20.366581706283842
0.0158,0.00414375,-20.638907383866965
0.0158,0.004212499999999999,-20.909364858891802
0.0158,0.0042812499999999995,-21.177973289945204
0.0158,0.00435,-21.44475157454235
0.0158,0.004418749999999999,-21.7097183535587
0.0158,0.0044875,-21.972892015571908
0.0158,0.0045562499999999995,-22.234290701115846
0.0158,0.004624999999999999,-22.493932306848873
0.0158,0.00469375,-22.75183448963844
0.0158,0.004762499999999999,-23.0080146705636
0.0158,0.004831249999999999,-23.262490038837978
