state,phi_total,alpha_pore,phi_mc_abs,delta_lambda_pct
dry,0.18,0.05,0.0005,-27.31731232058258
dry,0.18,0.05,0.00056875,-27.439021052281333
dry,0.18,0.05,0.0006375,-27.560318081387464
dry,0.18,0.05,0.00070625,-27.68120549336555
dry,0.18,0.05,0.000775,-27.801685359618663
dry,0.18,0.05,0.00084375,-27.921759737606926
dry,0.18,0.05,0.0009124999999999999,-28.04143067096439
dry,0.18,0.05,0.00098125,-28.16070018961522
dry,0.18,0.05,0.00105,-28.27957030988825
dry,0.18,0.05,0.00111875,-28.398043034630746
dry,0.18,0.05,0.0011875,-28.516120353320865
dry,0.18,0.05,0.00125625,-28.633804242179004
dry,0.18,0.05,0.0013249999999999998,-28.751096664278048
dry,0.18,0.05,0.00139375,-28.86799956965254
dry,0.18,0.05,0.0014624999999999998,-28.984514895406726
dry,0.18,0.05,0.0015312499999999998,-29.10064456582162
dry,0.18,0.05,0.0015999999999999999,-29.216390492460828
dry,0.18,0.05,0.0016687499999999999,-29.331754574275507
dry,0.18,0.05,0.0017375,-29.44673869770822
dry,0.18,0.05,0.00180625,-29.561344736795714
dry,0.18,0.05,0.001875,-29.67557455327079
dry,0.18,0.05,0.0019437499999999997,-29.78942999666304
dry,0.18,0.05,0.0020124999999999995,-29.902912904398743
dry,0.18,0.05,0.0020812499999999998,-30.01602510189971
dry,0.18,0.05,0.00215,-30.128768402681057
dry,0.18,0.05,0.00221875,-30.241144608448273
dry,0.18,0.05,0.0022874999999999996,-30.353155509193037
dry,0.18,0.05,0.00235625,-30.46480288328842
dry,0.18,0.05,0.0024249999999999996,-30.576088497582894
dry,0.18,0.05,0.00249375,-30.687014107493585
dry,0.18,0.05,0.0025624999999999997,-30.79758145709849
dry,0.18,0.05,0.00263125,-30.907792279228033
dry,0.18,0.05,0.0026999999999999997,-31.01764829555546
dry,0.18,0.05,0.0027687499999999995,-31.127151216686578
dry,0.18,0.05,0.0028374999999999997,-31.236302742248455
dry,0.18,0.05,0.0029062499999999995,-31.34510456097743
