state,phi_total,phi_mc_abs,delta_lambda_pct
dry,0.05,0.0005,-2.0529539660050364
dry,0.05,0.00056875,-2.328620536825687
dry,0.05,0.0006375,-2.602729856610982
dry,0.05,0.00070625,-2.8752950836513116
dry,0.05,0.000775,-3.146329228408844
dry,0.05,0.00084375,-3.415845155587609
dry,0.05,0.0009124999999999999,-3.6838555861690145
dry,0.05,0.00098125,-3.950373099413283
dry,0.05,0.00105,-4.215410134827653
dry,0.05,0.00111875,-4.478978994101736
dry,0.05,0.0011875,-4.741091843010798
dry,0.05,0.00125625,-5.0017607132877435
dry,0.05,0.0013249999999999998,-5.26099750446403
dry,0.05,0.00139375,-5.5188139856805485
dry,0.05,0.0014624999999999998,-5.775221797468658
dry,0.05,0.0015312499999999998,-6.030232453502114
dry,0.05,0.0015999999999999999,-6.2838573423205055
dry,0.05,0.0016687499999999999,-6.536107729024726
dry,0.05,0.0017375,-6.7869947569447255
dry,0.05,0.00180625,-7.036529449280575
dry,0.05,0.001875,-7.284722710716798
dry,0.05,0.0019437499999999997,-7.531585329011038
dry,0.05,0.0020124999999999995,-7.777127976556865
dry,0.05,0.0020812499999999998,-8.02136121192204
dry,0.05,0.00215,-8.26429548136172
dry,0.05,0.00221875,-8.505941120308082
dry,0.05,0.0022874999999999996,-8.746308354835843
dry,0.05,0.00235625,-8.985407303105047
dry,0.05,0.0024249999999999996,-9.223247976780641
dry,0.05,0.00249375,-9.459840282429987
dry,0.05,0.0025624999999999997,-9.695194022898324
dry,0.05,0.00263125,-9.929318898662679
dry,0.05,0.0026999999999999997,-10.162224509164627
dry,0.05,0.0027687499999999995,-10.393920354122349
dry,0.05,0.0028374999999999997,-10.62441583482214
dry,0.05,0.0029062499999999995,-10.853720255390096
dry,0.05,0.0029749999999999998,-11.081842824044035
dry,0.05,0.0030437499999999996,-11.308792654326034
dry,0.05,0.0031125,-11.534578766316196
dry,0.05,0.0031812499999999996,-11.759210087827574
dry,0.05,0.00325,-11.982695455583048
dry,0.05,0.0033187499999999997,-12.205043616373933
dry,0.05,0.0033874999999999995,-12.426263228201371
dry,0.05,0.0034562499999999997,-12.646362861399862
dry,0.05,0.0035249999999999995,-12.865350999744232
dry,0.05,0.0035937499999999997,-13.083236041539582
dry,0.05,0.0036624999999999995,-13.300026300695045
dry,0.05,0.0037312499999999998,-13.515730007781082
dry,0.05,0.0037999999999999996,-13.730355311071293
dry,0.05,0.0038687499999999994,-13.943910277568333
