contrast,phi_total,basic,dual
brine/dry,0.05,1.0396228952510302,1.0350344466473849
oil/dry,0.05,1.0094214056006594,1.008334820458643
brine/oil,0.05,1.0299196049170358,1.0264789290690144
brine/dry,0.052500000000000005,1.0415981706880957,1.0368812106635372
oil/dry,0.052500000000000005,1.009880286138505,1.0087653779988093
brine/oil,0.052500000000000005,1.031407568783099,1.0278715281847837
brine/dry,0.055,1.0435733274363617,1.0387286228198687
oil/dry,0.055,1.0103381718022293,1.0091952513417417
brine/oil,0.055,1.0328950806390378,1.029264279076682
brine/dry,0.0575,1.0455484262258765,1.0405767360955605
oil/dry,0.0575,1.0107950844670004,1.0096244583255736
brine/oil,0.0575,1.0343821831872104,1.0306572186467433
brine/dry,0.060000000000000005,1.0475235279382167,1.0424256036850243
oil/dry,0.060000000000000005,1.0112510458918051,1.0100530167309592
brine/oil,0.060000000000000005,1.0358689191905095,1.0320503839084003
brine/dry,0.0625,1.049498693613245,1.0442752790037413
oil/dry,0.0625,1.011706077722941,1.0104809442835303
brine/oil,0.0625,1.037355331476672,1.0334438119901137
brine/dry,0.065,1.0514739844559224,1.046125815694161
oil/dry,0.065,1.0121602014974715,1.0109082586563392
brine/oil,0.065,1.0388414629426121,1.0348375401390348
brine/dry,0.0675,1.0534494618431685,1.0479772676316652
oil/dry,0.0675,1.0126134386466528,1.0113349774722917
brine/oil,0.0675,1.0403273565587798,1.036231605724699
brine/dry,0.07,1.055425187330778,1.0498296889305927
oil/dry,0.07,1.0130658104993289,1.011761118306572
brine/oil,0.07,1.0418130553735405,1.0376260462427513
brine/dry,0.07250000000000001,1.057401222660397,1.0516831339503274
oil/dry,0.07250000000000001,1.013517338285302,1.012186698689052
brine/oil,0.07250000000000001,1.043298602517584,1.0390208993187027
brine/dry,0.07500000000000001,1.0593776297665485,1.0535376573014594
oil/dry,0.07500000000000001,1.0139680431386713,1.0126117361066997
brine/oil,0.07500000000000001,1.0447840412083549,1.0404162027117245
brine/dry,0.0775,1.0613544707837268,1.0553933138520042
oil/dry,0.0775,1.0144179461011484,1.0130362480059727
brine/oil,0.0775,1.046269414754516,1.0418119943184716
brine/dry,0.08,1.0633318080535468,1.0572501587337024
oil/dry,0.08,1.0148670681253464,1.0134602517952076
brine/oil,0.08,1.047754766560436,1.0432083121769473
brine/dry,0.0825,1.06530970413196,1.0591082473483822
oil/dry,0.0825,1.015315430078045,1.013883764847002
brine/oil,0.0825,1.04924014013071,1.0446051944703982
brine/dry,0.085,1.0672882217965345,1.0609676353744015
oil/dry,0.085,1.0157630527434325,1.0143068045005914
brine/oil,0.085,1.0507255790747063,1.0460026795312531
brine/dry,0.0875,1.0692674240538014,1.0628283787731607
oil/dry,0.0875,1.016209956826327,1.0147293880642176
brine/oil,0.0875,1.052211127111149,1.047400805845094
brine/dry,0.09,1.071247374146673,1.0646905337956936
oil/dry,0.09,1.0166561629553754,1.0151515328174958
brine/oil,0.09,1.0536968280727312,1.0487996120546705
brine/dry,0.0925,1.073228135561928,1.0665541569893364
oil/dry,0.0925,1.0171016916862332,1.0155732560137751
brine/oil,0.0925,1.055182725910763,1.050199136963951
brine/dry,0.095,1.0752097720377745,1.0684193052044795
oil/dry,0.095,1.0175465635047252,1.0159945748824988
brine/oil,0.095,1.0566688646998528,1.0515994195422191
brine/dry,0.0975,1.077192347571483,1.0702860356013981
oil/dry,0.0975,1.0179907988299883,1.0164155066315572
brine/oil,0.0975,1.0581552886426255,1.0530004989282091
brine/dry,0.1,1.0791759264271026,1.0721544056571686
oil/dry,0.1,1.0184344180175995,1.0168360684496436
brine/oil,0.1,1.059642042074479,1.0544024144342836
brine/dry,0.10250000000000001,1.08116057314325,1.074024473172671
oil/dry,0.10250000000000001,1.0188774413626833,1.0172562775086045
brine/oil,0.10250000000000001,1.061129169468378,1.0558052055506595
brine/dry,0.10500000000000001,1.083146352540986,1.0758962962796788
oil/dry,0.10500000000000001,1.019319889103011,1.0176761509657914
brine/oil,0.10500000000000001,1.0626167154396853,1.0572089119496761
