state,phi_intergranular,phi_ic,phi_total,delta_lambda_percent
dry,0.03000000,0.00000000,0.03000000,0.00000000
dry,0.03184874,0.00000000,0.03184874,0.00000000
dry,0.03369748,0.00000000,0.03369748,0.00000000
dry,0.03554622,0.00000000,0.03554622,0.00000000
dry,0.03739496,0.00000000,0.03739496,0.00000000
dry,0.03924370,0.00000000,0.03924370,0.00000000
dry,0.04109244,0.00000000,0.04109244,0.00000000
dry,0.04294118,0.00000000,0.04294118,0.00000000
dry,0.04478992,0.00000000,0.04478992,0.00000000
dry,0.04663866,0.00000000,0.04663866,0.00000000
dry,0.04848739,0.00000000,0.04848739,0.00000000
dry,0.05033613,0.00000000,0.05033613,0.00000000
dry,0.05218487,0.00000000,0.05218487,0.00000000
dry,0.05403361,0.00000000,0.05403361,0.00000000
dry,0.05588235,0.00000000,0.05588235,0.00000000
dry,0.05773109,0.00000000,0.05773109,0.00000000
dry,0.05957983,0.00000000,0.05957983,0.00000000
dry,0.06142857,0.00000000,0.06142857,0.00000000
dry,0.06327731,0.00000000,0.06327731,0.00000000
dry,0.06512605,0.00000000,0.06512605,0.00000000
dry,0.06697479,0.00000000,0.06697479,0.00000000
dry,0.06882353,0.00000000,0.06882353,0.00000000
dry,0.07067227,0.00000000,0.07067227,0.00000000
dry,0.07252101,0.00000000,0.07252101,0.00000000
dry,0.07436975,0.00000000,0.07436975,0.00000000
dry,0.07621849,0.00000000,0.07621849,0.00000000
dry,0.07806723,0.00000000,0.07806723,0.00000000
dry,0.07991597,0.00000000,0.07991597,0.00000000
dry,0.08176471,0.00000000,0.08176471,0.00000000
dry,0.08361345,0.00000000,0.08361345,0.00000000
dry,0.08546218,0.00000000,0.08546218,0.00000000
dry,0.08731092,0.00000000,0.08731092,0.00000000
dry,0.08915966,0.00000000,0.08915966,0.00000000
dry,0.09100840,0.00000000,0.09100840,0.00000000
dry,0.09285714,0.00000000,0.09285714,0.00000000
dry,0.09470588,0.00000000,0.09470588,0.00000000
dry,0.09655462,0.00000000,0.09655462,0.00000000
dry,0.09840336,0.00000000,0.09840336,0.00000000
dry,0.10025210,0.00000000,0.10025210,0.00000000
dry,0.10210084,0.00000000,0.10210084,0.00000000
dry,0.10394958,0.00000000,0.10394958,0.00000000
dry,0.10579832,0.00000000,0.10579832,0.00000000
dry,0.10764706,0.00000000,0.10764706,0.00000000
dry,0.10949580,0.00000000,0.10949580,0.00000000
dry,0.11134454,0.00000000,0.11134454,0.00000000
dry,0.11319328,0.00000000,0.11319328,0.00000000
dry,0.11504202,0.00000000,0.11504202,0.00000000
dry,0.11689076,0.00000000,0.11689076,0.00000000
dry,0.11873950,0.00000000,0.11873950,0.00000000
dry,0.12058824,0.00000000,0.12058824,0.00000000
dry,0.12243697,0.00000000,0.12243697,0.00000000
dry,0.12428571,0.00000000,0.12428571,0.00000000
dry,0.12613445,0.00000000,0.12613445,0.00000000
dry,0.12798319,0.00000000,0.12798319,0.00000000
dry,0.12983193,0.00000000,0.12983193,0.00000000
dry,0.13168067,0.00000000,0.13168067,0.00000000
dry,0.13352941,0.00000000,0.13352941,0.00000000
dry,0.13537815,0.00000000,0.13537815,0.00000000
dry,0.13722689,0.00000000,0.13722689,0.00000000
dry,0.13907563,0.00000000,0.13907563,0.00000000
dry,0.14092437,0.00000000,0.14092437,0.00000000
dry,0.14277311,0.00000000,0.14277311,0.00000000
dry,0.14462185,0.00000000,0.14462185,0.00000000
dry,0.14647059,0.00000000,0.14647059,0.00000000
dry,0.14831933,0.00000000,0.14831933,0.00000000
dry,0.15016807,0.00000000,0.15016807,0.00000000
dry,0.15201681,0.00000000,0.15201681,0.00000000
dry,0.15386555,0.00000000,0.15386555,0.00000000
dry,0.15571429,0.00000000,0.15571429,0.00000000
dry,0.15756303,0.00000000,0.15756303,0.00000000
dry,0.15941176,0.00000000,0.15941176,0.00000000
dry,0.16126050,0.00000000,0.16126050,0.00000000
dry,0.16310924,0.00000000,0.16310924,0.00000000
