sample_id,state,measurement_col,phi,matrix_tc,fluid_tc,observed_tc,wiener_parallel,wiener_series,hs_upper,hs_lower,obs_inside_wiener,obs_inside_hs
113480,dry,TC air,0.045249,2.98,0.025,2.4728875000000006,2.846289205,0.4694072636962093,2.7846362138447827,1.0388272453755927,True,True
113480,oil,TC oil,0.045249,2.98,0.13,2.668884574253278,2.8510403500000003,1.4959859576578824,2.794615412241821,2.1748713816189755,True,True
113480,brine_avg,TC 60,0.045249,2.98,0.6,2.9664375000000005,2.87230738,2.5265206241658986,2.8356064177415545,2.7440316123883735,False,False
113532,dry,TC air,0.06473371285951457,2.98,0.025,2.4045750000000004,2.788711878500134,0.3444479497226865,2.703115927792321,0.8033989376620195,True,True
113532,oil,TC oil,0.06473371285951457,2.98,0.13,2.600887636781521,2.795508918350383,1.2318314337180898,2.717134016371262,1.939511951293741,True,True
113532,brine_avg,TC 60,0.06473371285951457,2.98,0.6,2.857375,2.8259337633943553,2.3711444873178604,2.7748557391726303,2.6504324260111756,False,False
113536,dry,TC air,0.1502428813868614,2.98,0.025,1.85855,2.536032285501825,0.15885954980871045,2.36262695600992,0.38788851146500175,True,True
113536,oil,TC oil,0.1502428813868614,2.98,0.13,2.23458197098924,2.5518077880474452,0.6940261646519139,2.392714714390244,1.2843803809675878,True,True
113536,brine_avg,TC 60,0.1502428813868614,2.98,0.6,2.63095,2.6224219422992703,1.867210704778701,2.517880482275748,2.28724347336852,False,False
113541,dry,TC air,0.1419265364023713,2.98,0.025,1.867175,2.5606070849309925,0.16764443687953784,2.3945623620476253,0.4096546452699076,True,True
113541,oil,TC oil,0.1419265364023713,2.98,0.13,2.2868730488364504,2.5755093712532418,0.724802230692711,2.423197869130835,1.330452995012946,True,True
113541,brine_avg,TC 60,0.1419265364023713,2.98,0.6,2.7286125,2.642214843362356,1.9066200689406687,2.5422073996557253,2.319530471356586,False,False
113556,dry,TC air,0.09432965948473461,2.98,0.025,2.1235625000000002,2.7012558562226094,0.24527221849781528,2.582159253607847,0.5924134618126913,True,True
113556,oil,TC oil,0.09432965948473461,2.98,0.13,2.4008624999999997,2.7111604704685064,0.9713179645334268,2.602033960308378,1.6579177073642755,True,True
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,2.8231,2.755495410426332,2.1685749510800565,2.6841683730492223,2.5164647779753597,False,False
113566,dry,TC air,0.09294072678275303,2.98,0.025,2.244775,2.7053601523569646,0.24863181778397114,2.587760143124971,0.5999545218656281,True,True
113566,oil,TC oil,0.09294072678275303,2.98,0.13,2.456699651526272,2.715118928669154,0.9810548748117172,2.607367255009566,1.6695106475319532,True,True
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,2.7460125,2.758801070257048,2.1773043476319085,2.688382182503389,2.522543035858856,True,False
113572,dry,TC air,0.0882413294197936,2.98,0.025,2.26715,2.71924687156451,0.2607145559801585,2.6067651121847635,0.6268365824584199,True,True
113572,oil,TC oil,0.0882413294197936,2.98,0.13,2.52625,2.728512211153588,1.0154977729994092,2.6254616160830118,1.7097958744816228,True,True
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,2.843925,2.769985635980891,2.2073682633581297,2.702669951143765,2.543256831734995,False,False
113577,dry,TC air,0.07476560681237662,2.98,0.025,2.29725,2.759067631869427,0.3029288115521488,2.661734306156756,0.7179119436496771,True,True
113577,oil,TC oil,0.07476560681237662,2.98,0.13,2.5712816742530693,2.766918020584727,1.1291761830809635,2.677774374156361,1.8352375350779693,True,True
113577,brine_avg,TC 60,0.07476560681237662,2.98,0.6,2.9365625,2.802057855786544,2.2983714319883894,2.743903765390078,2.603953529182713,False,False
113603,dry,TC air,0.06812695477572067,2.98,0.025,2.3427999999999995,2.7786848486377456,0.32918697467475566,2.689074399033447,0.772430470713026,True,True
113603,oil,TC oil,0.06812695477572067,2.98,0.13,2.7211499999999997,2.785838178889196,1.1950821311174094,2.7037807156875915,1.9030992549242964,True,False
113603,brine_avg,TC 60,0.06812695477572067,2.98,0.6,2.9926125000000003,2.817857847633785,2.3460190391632505,2.764361769016783,2.6345845589864876,False,False
113619,dry,TC air,0.08326069547301873,2.98,0.025,2.252275,2.7339646448772297,0.274871888821493,2.6269999046002477,0.657865960473715,True,True
113619,oil,TC oil,0.08326069547301873,2.98,0.13,2.5288521096787857,2.7427070179018966,1.0547438118393617,2.6447224546169825,1.754369738002877,True,True
113619,brine_avg,TC 60,0.08326069547301873,2.98,0.6,2.82315,2.7818395447742157,2.240151072749161,2.717864396464773,2.5654633692316846,False,False
113622,dry,TC air,0.08011973979984602,2.98,0.025,2.31575,2.743246168891455,0.28461856578941946,2.639809869119609,0.6789405207690205,True,True
113622,oil,TC oil,0.08011973979984602,2.98,0.13,2.6211870716673373,2.7516587415704388,1.081092369038914,2.6569134861722135,1.7835317598072655,True,True
113622,brine_avg,TC 60,0.08011973979984602,2.98,0.6,2.92005,2.7893150192763665,2.2613304205723312,2.7274739626368185,2.5796035399156687,False,False
113704,dry,TC air,0.1753453832771655,2.98,0.025,1.7076124999999998,2.461854392415976,0.13716395559449487,2.2676952153125653,0.33312683613324773,True,True
113704,oil,TC oil,0.1753453832771655,2.98,0.13,2.05415,2.4802656576600786,0.6151800433187856,2.3020326058041802,1.1601991986471436,True,True
113704,brine_avg,TC 60,0.1753453832771655,2.98,0.6,2.5313125,2.5626779878003463,1.7575556004474788,2.4452878593618577,2.19328250863119,True,False
113724,dry,TC air,0.07992399227956115,2.98,0.025,2.3283000000000005,2.7438246028138966,0.28524892008459074,2.6406094642824613,0.6802955248229013,True,True
113724,oil,TC oil,0.07992399227956115,2.98,0.13,2.4123875,2.752216622003251,1.082778082562348,2.657674387130279,1.785377141899485,True,True
113724,brine_avg,TC 60,0.07992399227956115,2.98,0.6,2.8098625000000004,2.7897808983746444,2.26266360345171,2.728073545031863,2.5804882858652913,False,False
113726,dry,TC air,0.09789559467455616,2.98,0.025,2.3587375,2.6907185177366864,0.2370486465301252,2.5678131290818156,0.5738307766512738,True,True
113726,oil,TC oil,0.09789559467455616,2.98,0.13,2.497631302525579,2.7009975551775147,0.9471826022168134,2.5883716597187556,1.628782335220445,True,True
113726,brine_avg,TC 60,0.09789559467455616,2.98,0.6,2.7946125000000004,2.747008484674556,2.1464804468043606,2.673368651747878,2.500950025261443,False,False
113728,dry,TC air,0.2358372317110681,2.98,0.025,1.4346,2.283100980293794,0.10320002932033283,2.047588836975956,0.24440379401763465,True,True
113728,oil,TC oil,0.2358372317110681,2.98,0.13,1.7373784115253965,2.307863889623456,0.48296042902013736,2.0913907308748767,0.9296780343453664,True,True
113728,brine_avg,TC 60,0.2358372317110681,2.98,0.6,2.286675,2.418707388527658,1.539663632004933,2.275358831558353,1.986390353929301,True,False
113735,dry,TC air,0.09160330411903464,2.98,0.025,2.3656875,2.7093122363282527,0.25195496450338367,2.5931602633241013,0.6073851431310379,True,True
113735,oil,TC oil,0.09160330411903464,2.98,0.13,2.596562490472174,2.718930583260751,0.9906169682870002,2.6125090417847803,1.6808068748313945,True,True
113735,brine_avg,TC 60,0.09160330411903464,2.98,0.6,2.8722000000000003,2.7619841361966975,2.185776681257537,2.6924436027348184,2.5284146943323385,False,False
113754,dry,TC air,0.1192694322660098,2.98,0.025,1.8863500000000002,2.627558827653941,0.1973817523322397,2.482823932390466,0.48165210724253077,True,True
113754,oil,TC oil,0.1192694322660098,2.98,0.13,2.2409375000000002,2.640082118041872,0.8243993575765208,2.5073865202489607,1.4711536423935523,True,True
113754,brine_avg,TC 60,0.1192694322660098,2.98,0.6,2.60505,2.6961387512068966,2.0229419520784306,2.60919768943915,2.4106050747657153,True,True
129473,dry,TC air,0.117869102602222,2.98,0.025,2.235925,2.631696801810434,0.19956968052057347,2.488340198728392,0.4868492394386107,True,True
129473,oil,TC oil,0.117869102602222,2.98,0.13,2.4113402649754168,2.6440730575836673,0.8314608251476381,2.512645345626552,1.48067103198286,True,True
129473,brine_avg,TC 60,0.117869102602222,2.98,0.6,2.6124875000000003,2.699471535806712,2.0305987514419623,2.6133727016829598,2.4163888788310244,True,True
129498,dry,TC air,0.136895751762234,2.98,0.025,1.9574,2.575473053542599,0.17344662684018258,2.4140002113404844,0.4239045463010026,True,True
129498,oil,TC oil,0.136895751762234,2.98,0.13,2.2367375000000003,2.5898471074776332,0.7447810164457397,2.441746209232991,1.3596825162239243,True,True
129498,brine_avg,TC 60,0.136895751762234,2.98,0.6,2.3839125,2.654188110805883,1.9312778555440504,2.556991306723556,2.339353617432399,True,True
129524,dry,TC air,0.1474964002666242,2.98,0.025,1.9375625,2.544148137212126,0.1616571527981251,2.3731466203252713,0.3948452018160949,True,True
129524,oil,TC oil,0.1474964002666242,2.98,0.13,2.2731444762936803,2.5596352592401215,0.7038968366053457,2.402757259840609,1.2992978524893894,True,True
129524,brine_avg,TC 60,0.1474964002666242,2.98,0.6,2.5233375000000002,2.6289585673654345,1.8800442742509127,2.5258990604608984,2.297840574267651,True,True
129552,dry,TC air,0.1447440980724326,2.98,0.025,1.869,2.552281190195962,0.16456130910983732,2.3837152925211527,0.4020419677325838,True,True
129552,oil,TC oil,0.1447440980724326,2.98,0.13,2.2544596734705014,2.5674793204935673,0.7140741627626869,2.412845344666026,1.314538865188048,True,True
129552,brine_avg,TC 60,0.1447440980724326,2.98,0.6,2.540625,2.6355090465876105,1.8930832461021068,2.5339498647637932,2.308524942960261,True,False
129563,dry,TC air,0.1588516934069688,2.98,0.025,1.8122,2.510593245982407,0.15068564374294333,2.329824617373992,0.36742685652400325,True,True
129563,oil,TC oil,0.1588516934069688,2.98,0.13,2.166325,2.5272726737901388,0.6648049311840291,2.3613921787474568,1.2394173805695852,True,True
129563,brine_avg,TC 60,0.1588516934069688,2.98,0.6,2.48075,2.601932969691414,1.8280955646116357,2.492844249530344,2.2544391404400486,True,True
129688,dry,TC air,0.0865773064992614,2.98,0.025,2.2072874999999996,2.7241640592946825,0.2652794361465765,2.613514911842555,0.6368963496394014,True,True
129688,oil,TC oil,0.0865773064992614,2.98,0.13,2.365288415656712,2.733254676477105,1.0282808460035404,2.6318870366927865,1.7244668713213809,True,True
129688,brine_avg,TC 60,0.0865773064992614,2.98,0.6,2.55265,2.7739460105317577,2.218213697049688,2.7077404719629112,2.550646811850979,True,True
129693,dry,TC air,0.1065359216241736,2.98,0.025,2.075675,2.665186351600567,0.219237809755155,2.533251227136539,0.5329708655227542,True,True
129693,oil,TC oil,0.1065359216241736,2.98,0.13,2.2485923804021635,2.676372623371105,0.8933937774218143,2.5554477721074935,1.5617274037556519,True,True
129693,brine_avg,TC 60,0.1065359216241736,2.98,0.6,2.4773625,2.7264445065344667,2.0947671401428334,2.6473122991724654,2.463889300260725,True,True
129744,dry,TC air,0.037313,2.98,0.025,2.598375,2.869740085,0.5507914151801737,2.8182802942210547,1.176654994416898,True,True
129744,oil,TC oil,0.037313,2.98,0.13,2.7151500684998755,2.87365795,1.6391496984984264,2.8265711028654397,2.285825001125736,True,True
129744,brine_avg,TC 60,0.037313,2.98,0.6,2.7981125,2.8911950600000003,2.5958001985293544,2.860592652248872,2.783471157164593,True,True
129750,dry,TC air,0.0216235,2.98,0.025,2.7035125,2.9161025575,0.8380443565629011,2.885562436563,1.5860992391922553,True,True
129750,oil,TC oil,0.0216235,2.98,0.13,2.8173837447981915,2.9183730249999997,2.021636045760259,2.8904391149302415,2.5378842494959475,True,True
129750,brine_avg,TC 60,0.0216235,2.98,0.6,2.8489375,2.92853607,2.744587869968488,2.9104106414144804,2.863811278246182,True,False
129817,dry,TC air,0.014711499999999999,2.98,0.025,2.659425,2.9365275175,1.088028318529272,2.915531928746761,1.8681669464890298,True,True
129817,oil,TC oil,0.014711499999999999,2.98,0.13,2.8368898616877924,2.938072225,2.2532717590278826,2.9188717019746697,2.6654891052097773,True,True
129817,brine_avg,TC 60,0.014711499999999999,2.98,0.6,2.9149374999999997,2.94498663,2.815688746836937,2.9325369381017645,2.9002426047718664,True,True
129822,dry,TC air,0.06934715385806561,2.98,0.025,2.4153000000000002,2.775079160349416,0.32402456477289926,2.6840362301984406,0.7618366616921729,True,True
129822,oil,TC oil,0.06934715385806561,2.98,0.13,2.605161460353123,2.7823606115045125,1.1823975187444113,2.6989889521363852,1.8902983372764575,True,True
129822,brine_avg,TC 60,0.06934715385806561,2.98,0.6,2.8097000000000003,2.8149537738178037,2.337113678636965,2.760594331630865,2.628917559165036,True,False
129845,dry,TC air,0.07459951122802215,2.98,0.025,2.357925,2.7595584443211947,0.3035345819657925,2.6624162325781597,0.7191876637931697,True,True
129845,oil,TC oil,0.07459951122802215,2.98,0.13,2.5337567978288718,2.767391393000137,1.1307363331947897,2.6784231347528418,1.8368834253644954,True,True
129845,brine_avg,TC 60,0.07459951122802215,2.98,0.6,2.6235875,2.802453163277307,2.2995399319432623,2.744414443599926,2.604713931564431,True,True
129897,dry,TC air,0.2364854161234349,2.98,0.025,1.2605,2.2811855953552502,0.10292693751592964,2.045294097157666,0.24367507070940098,True,True
129897,oil,TC oil,0.2364854161234349,2.98,0.13,1.6629125,2.306016564048211,0.48185072313259725,2.089191798817417,0.9276124733743086,True,True
129897,brine_avg,TC 60,0.2364854161234349,2.98,0.6,2.1783,2.417164709626225,1.537621032661707,2.273575199928917,1.9843099815940977,True,True
129913,dry,TC air,0.10171065443731632,2.98,0.025,2.2462375000000003,2.6794450161377306,0.2288399922991755,2.552518009527038,0.555104471422329,True,True
129913,oil,TC oil,0.10171065443731632,2.98,0.13,2.4261375077050964,2.6901246348536487,0.9226547498564678,2.5738030735575452,1.5985759460897584,True,True
129913,brine_avg,TC 60,0.10171065443731632,2.98,0.6,2.604825,2.7379286424391873,2.1233354916372082,2.661844276128013,2.4844941642916782,True,True
129914,dry,TC air,0.05877849795017343,2.98,0.025,2.4985875,2.806309538557237,0.374955090742801,2.727869659139431,0.8637865549069436,True,True
129914,oil,TC oil,0.05877849795017343,2.98,0.13,2.5786813976183107,2.8124812808420057,1.3021029436278098,2.740669137962405,2.0064709839848636,True,True
129914,brine_avg,TC 60,0.05877849795017343,2.98,0.6,2.661575,2.8401071748785873,2.4165662097163843,2.793334050375236,2.6785647859330024,True,False
129937,dry,TC air,0.127186314179544,2.98,0.025,2.1168875,2.6041644415994476,0.18586175412499858,2.4517722441883385,0.4540640556530723,True,True
129937,oil,TC oil,0.127186314179544,2.98,0.13,2.3031752303961825,2.6175190045882997,0.7866293392217996,2.4777776608276803,1.4192450675895865,True,True
129937,brine_avg,TC 60,0.127186314179544,2.98,0.6,2.6351500000000003,2.6772965722526854,1.9807169719759807,2.5856701746545827,2.3782506941840453,True,False
